hours,tav,bot,mid
52,61.43,60.81,62.08
52.25,61.45,60.81,62.08
52.5,61.49,60.88,62.14
52.75,61.52,60.88,62.14
53,61.54,60.81,62.2
53.25,61.58,60.88,62.26
53.5,61.6,60.88,62.26
53.75,61.63,60.94,62.33
54,61.65,60.94,62.33
54.25,61.7,60.94,62.39
54.5,61.7,60.94,62.39
54.75,61.74,60.94,62.45
55,61.76,61,62.51
55.25,61.81,61,62.51
55.5,61.81,61,62.51
55.75,61.85,61.06,62.58
56,61.84,61,62.58
56.25,61.85,61.06,62.58
56.5,61.88,61.06,62.64
56.75,61.91,61.12,62.64
57,61.91,61.06,62.7
57.25,61.93,61.06,62.7
57.5,61.93,61.06,62.76
57.75,61.95,61.06,62.76
58,61.93,61.06,62.7
58.25,61.95,61.06,62.7
58.5,61.98,61.12,62.76
58.75,61.98,61.06,62.76
59,61.96,61.06,62.76
59.25,61.98,61.06,62.76
59.5,61.98,61.06,62.83
59.75,61.96,61.06,62.76
60,61.98,61,62.83
60.25,61.98,61.06,62.83
60.5,61.96,61,62.83
60.75,61.96,61,62.83
61,61.95,61,62.76
61.25,61.95,60.94,62.83
61.5,61.96,61,62.83
61.75,61.95,60.94,62.83
62,61.93,60.94,62.83
62.25,61.93,60.94,62.83
62.5,61.9,60.88,62.83
62.75,61.93,60.88,62.89
63,61.9,60.88,62.83
63.25,61.88,60.81,62.83
63.5,61.88,60.81,62.83
63.75,61.88,60.81,62.83
64,61.85,60.75,62.83
64.25,61.82,60.75,62.76
64.5,61.82,60.75,62.83
64.75,61.79,60.69,62.76
65,61.81,60.75,62.76
65.25,61.79,60.69,62.76
65.5,61.76,60.62,62.76
65.75,61.76,60.62,62.76
66,61.76,60.62,62.76
66.25,61.74,60.62,62.76
66.5,61.7,60.56,62.7
66.75,61.68,60.56,62.7
67,61.68,60.56,62.76
67.25,61.65,60.5,62.7
67.5,61.63,60.5,62.7
67.75,61.63,60.5,62.7
68,61.58,60.5,62.64
68.25,61.58,60.44,62.64
68.5,61.52,60.38,62.58
68.75,61.54,60.38,62.64
69,61.51,60.38,62.58
69.25,61.49,60.31,62.58
69.5,61.48,60.31,62.58
69.75,61.46,60.25,62.58
70,61.43,60.25,62.51
70.25,61.43,60.25,62.51
70.5,61.38,60.19,62.51
70.75,61.37,60.19,62.51
71,61.35,60.12,62.45
71.25,61.32,60.12,62.45
71.5,61.29,60.06,62.39
71.75,61.26,60.06,62.39
72,61.24,60,62.39
72.25,61.21,60,62.33
72.5,61.2,60,62.33
72.75,61.2,59.94,62.33
73,61.13,59.88,62.33
73.25,61.1,59.88,62.26
73.5,61.09,59.81,62.26
73.75,61.06,59.81,62.26
74,61.04,59.81,62.2
74.25,61.03,59.75,62.2
74.5,60.99,59.75,62.14
74.75,60.98,59.69,62.14
75,60.95,59.62,62.14
75.25,60.93,59.62,62.14
75.5,60.9,59.56,62.14
75.75,60.89,59.56,62.08
76,60.87,59.56,62.08
76.25,60.85,59.5,62.08
76.5,60.8,59.44,62.01
76.75,60.8,59.5,62.01
77,60.79,59.44,62.01
77.25,60.77,59.38,62.01
77.5,60.74,59.38,62.01
77.75,60.68,59.31,61.95
78,60.68,59.31,61.95
78.25,60.65,59.31,61.89
78.5,60.63,59.31,61.89
78.75,60.6,59.25,61.89
79,60.59,59.19,61.89
79.25,60.59,59.19,61.89
79.5,60.57,59.12,61.89
79.75,60.53,59.12,61.83
80,60.49,59.12,61.76
80.25,60.46,59.06,61.76
80.5,60.46,59.06,61.76
80.75,60.44,59,61.76
81,60.41,59,61.7
81.25,60.38,58.94,61.7
81.5,60.35,58.94,61.64
81.75,60.37,58.94,61.7
82,60.31,58.88,61.64
82.25,60.29,58.88,61.64
82.5,60.31,58.88,61.64
82.75,60.26,58.81,61.58
83,60.24,58.81,61.58
83.25,60.21,58.75,61.58
83.5,60.18,58.69,61.51
83.75,60.16,58.69,61.51
84,60.16,58.69,61.51
84.25,60.12,58.62,61.51
84.5,60.1,58.62,61.45
84.75,60.07,58.56,61.45
85,60.07,58.56,61.45
85.25,60.02,58.56,61.39
85.5,60.02,58.56,61.39
85.75,60.01,58.5,61.39
86,59.99,58.44,61.39
86.25,59.95,58.5,61.33
86.5,59.93,58.38,61.33
86.75,59.88,58.38,61.26
87,59.88,58.38,61.26
87.25,59.85,58.38,61.2
87.5,59.83,58.31,61.2
87.75,59.8,58.25,61.2
88,59.79,58.25,61.14
88.25,59.76,58.19,61.2
88.5,59.73,58.19,61.14
88.75,59.73,58.19,61.14
89,59.69,58.12,61.14
89.25,59.65,58.06,61.08
89.5,59.66,58.12,61.08
89.75,59.61,58.06,61.01
90,59.6,58,61.01
90.25,59.55,58,60.95
90.5,59.54,57.94,61.01
90.75,59.52,57.94,60.95
91,59.48,57.94,60.89
91.25,59.46,57.88,60.89
91.5,59.45,57.88,60.89
91.75,59.4,57.81,60.83
92,59.37,57.75,60.83
92.25,59.33,57.75,60.76
92.5,59.33,57.75,60.76
92.75,59.3,57.69,60.76
93,59.25,57.62,60.7
93.25,59.25,57.62,60.7
93.5,59.22,57.62,60.7
93.75,59.19,57.56,60.7
94,59.13,57.5,60.64
94.25,59.12,57.5,60.58
94.5,59.1,57.5,60.58
94.75,59.09,57.5,60.51
95,59.06,57.44,60.51
95.25,58.99,57.38,60.51
95.5,58.98,57.38,60.45
95.75,58.96,57.38,60.45
96,58.93,57.31,60.39
96.25,58.88,57.25,60.39
96.5,58.88,57.25,60.39
96.75,58.84,57.19,60.33
97,58.82,57.19,60.33
97.25,58.77,57.12,60.33
97.5,58.74,57.12,60.26
97.75,58.71,57.06,60.26
98,58.68,57.06,60.2
98.25,58.66,57.06,60.2
98.5,58.62,57,60.14
98.75,58.62,57,60.14
99,58.6,56.94,60.14
99.25,58.53,56.88,60.08
99.5,58.52,56.81,60.08
99.75,58.48,56.81,60.08
100,58.46,56.81,60.01
100.25,58.45,56.75,60.01
100.5,58.41,56.75,59.95
100.75,58.4,56.75,59.95
101,58.37,56.69,59.95
101.25,58.34,56.69,59.95
101.5,58.3,56.62,59.89
101.75,58.29,56.62,59.89
102,58.27,56.56,59.89
102.25,58.21,56.56,59.83
102.5,58.21,56.5,59.83
102.75,58.18,56.5,59.76
103,58.15,56.5,59.76
103.25,58.13,56.44,59.76
103.5,58.09,56.38,59.76
103.75,58.07,56.38,59.7
104,58.07,56.44,59.7
104.25,58.04,56.38,59.7
104.5,57.99,56.31,59.64
104.75,57.96,56.25,59.64
105,57.95,56.25,59.64
105.25,57.92,56.19,59.58
105.5,57.89,56.19,59.58
105.75,57.85,56.19,59.51
106,57.8,56.12,59.51
106.25,57.82,56.12,59.51
106.5,57.76,56.06,59.45
106.75,57.76,56.06,59.45
107,57.73,56,59.45
107.25,57.7,55.94,59.45
107.5,57.67,55.94,59.39
107.75,57.67,55.94,59.39
108,57.6,55.81,59.33
108.25,57.57,55.81,59.33
108.5,57.56,55.81,59.33
108.75,57.53,55.75,59.33
109,57.51,55.75,59.26
109.25,57.48,55.69,59.26
109.5,57.42,55.69,59.2
109.75,57.41,55.62,59.2
110,57.35,55.62,59.14
110.25,57.34,55.56,59.14
110.5,57.29,55.5,59.14
110.75,57.29,55.5,59.14
111,57.26,55.5,59.14
111.25,57.2,55.38,59.08
111.5,57.15,55.31,59.01
111.75,57.15,55.31,59.01
112,57.1,55.31,58.95
112.25,57.07,55.25,59.01
112.5,57.03,55.19,58.95
112.75,57,55.19,58.89
113,56.98,55.19,58.89
113.25,56.93,55.06,58.89
113.5,56.88,55.06,58.83
113.75,56.87,55,58.83
114,56.82,54.94,58.83
114.25,56.79,54.94,58.76
114.5,56.76,54.88,58.76
114.75,56.73,54.88,58.7
115,56.69,54.81,58.7
115.25,56.63,54.75,58.7
115.5,56.62,54.75,58.64
115.75,56.59,54.69,58.64
116,56.56,54.69,58.58
116.25,56.51,54.62,58.58
116.5,56.47,54.62,58.51
116.75,56.44,54.56,58.51
117,56.4,54.5,58.51
117.25,56.35,54.5,58.39
117.5,56.34,54.5,58.39
117.75,56.31,54.44,58.39
118,56.26,54.38,58.33
118.25,56.21,54.31,58.33
118.5,56.17,54.25,58.33
118.75,56.15,54.25,58.26
119,56.09,54.19,58.26
119.25,56.04,54.12,58.2
119.5,55.98,54.06,58.14
119.75,55.95,54,58.14
120,55.9,53.94,58.08
