hours,t1,t2,t3,t4,t5,t6,tav,bot,mid,top
139.25,54.45,52.88,50.69,50.19,43.75,42.14,52.06,50.19,54.45,42.95
139.5,54.45,52.81,50.69,50.12,43.75,42.14,52.02,50.12,54.45,42.95
139.75,54.39,52.75,50.62,50.06,43.69,42.08,51.96,50.06,54.39,42.89
140,54.33,52.75,50.56,50.06,43.69,42.01,51.93,50.06,54.33,42.85
140.25,54.26,52.62,50.5,49.94,43.62,41.95,51.83,49.94,54.26,42.79
140.5,54.2,52.62,50.5,49.94,43.56,41.95,51.82,49.94,54.2,42.76
140.75,54.14,52.5,50.44,49.88,43.56,41.95,51.74,49.88,54.14,42.76
141,54.14,52.44,50.38,49.81,43.5,41.89,51.7,49.81,54.14,42.7
141.25,54.01,52.38,50.38,49.81,43.44,41.83,51.65,49.81,54.01,42.64
141.5,53.95,52.38,50.31,49.69,43.44,41.83,51.59,49.69,53.95,42.64
141.75,53.89,52.25,50.25,49.69,43.38,41.76,51.52,49.69,53.89,42.57
142,53.83,52.19,50.19,49.62,43.31,41.7,51.46,49.62,53.83,42.51
142.25,53.76,52.12,50.06,49.56,43.25,41.64,51.38,49.56,53.76,42.45
142.5,53.7,52.06,50.06,49.5,43.19,41.58,51.33,49.5,53.7,42.39
142.75,53.64,52,50,49.44,43.19,41.51,51.27,49.44,53.64,42.35
143,53.51,51.94,50,49.38,43.12,41.45,51.21,49.38,53.51,42.29
143.25,53.51,51.94,49.88,49.31,43.06,41.45,51.17,49.31,53.51,42.26
143.5,53.45,51.88,49.88,49.25,43.06,41.45,51.12,49.25,53.45,42.26
143.75,53.33,51.75,49.81,49.25,43,41.33,51.04,49.25,53.33,42.17
144,53.33,51.69,49.75,49.12,43,41.33,50.98,49.12,53.33,42.17
144.25,53.26,51.62,49.69,49.12,42.94,41.26,50.93,49.12,53.26,42.1
144.5,53.14,51.56,49.56,49.06,42.88,41.26,50.83,49.06,53.14,42.07
144.75,53.08,51.5,49.56,49,42.75,41.2,50.79,49,53.08,41.98
145,53.01,51.38,49.5,48.94,42.75,41.2,50.71,48.94,53.01,41.98
145.25,52.95,51.38,49.44,48.88,42.75,41.14,50.67,48.88,52.95,41.95
145.5,52.89,51.25,49.38,48.81,42.69,41.01,50.59,48.81,52.89,41.85
145.75,52.83,51.19,49.31,48.75,42.62,40.95,50.52,48.75,52.83,41.79
146,52.76,51.12,49.25,48.75,42.56,40.89,50.47,48.75,52.76,41.73
146.25,52.7,51.06,49.25,48.69,42.5,40.89,50.43,48.69,52.7,41.7
146.5,52.64,51,49.19,48.56,42.5,40.83,50.35,48.56,52.64,41.67
146.75,52.58,50.94,49.12,48.56,42.44,40.83,50.3,48.56,52.58,41.64
147,52.51,50.88,49.12,48.5,42.44,40.76,50.26,48.5,52.51,41.6
147.25,52.39,50.81,49.06,48.44,42.38,40.7,50.18,48.44,52.39,41.54
147.5,52.33,50.75,48.94,48.38,42.38,40.7,50.1,48.38,52.33,41.54
147.75,52.33,50.69,48.88,48.38,42.25,40.64,50.07,48.38,52.33,41.45
148,52.2,50.62,48.88,48.31,42.25,40.64,50.01,48.31,52.2,41.45
148.25,52.14,50.56,48.81,48.25,42.19,40.58,49.94,48.25,52.14,41.39
148.5,52.08,50.5,48.75,48.25,42.19,40.51,49.9,48.25,52.08,41.35
148.75,52.08,50.44,48.69,48.19,42.12,40.51,49.85,48.19,52.08,41.32
149,51.95,50.38,48.62,48.12,42.12,40.45,49.77,48.12,51.95,41.29
149.25,51.89,50.31,48.56,48.06,42.06,40.45,49.71,48.06,51.89,41.26
149.5,51.83,50.31,48.62,48,42,40.39,49.69,48,51.83,41.2
149.75,51.76,50.19,48.5,48,42,40.33,49.62,48,51.76,41.17
150,51.7,50.12,48.44,47.94,41.94,40.33,49.55,47.94,51.7,41.14
150.25,51.64,50.06,48.44,47.88,41.94,40.26,49.51,47.88,51.64,41.1
150.5,51.58,50,48.31,47.88,41.88,40.26,49.45,47.88,51.58,41.07
150.75,51.58,49.94,48.31,47.81,41.81,40.26,49.41,47.81,51.58,41.04
151,51.45,49.88,48.31,47.69,41.81,40.2,49.34,47.69,51.45,41.01
151.25,51.39,49.81,48.25,47.69,41.75,40.14,49.29,47.69,51.39,40.95
151.5,51.33,49.75,48.19,47.62,41.75,40.14,49.23,47.62,51.33,40.95
151.75,51.26,49.75,48.19,47.56,41.62,40.08,49.2,47.56,51.26,40.85
152,51.2,49.62,48.12,47.56,41.62,40.01,49.13,47.56,51.2,40.82
152.25,51.14,49.56,48.12,47.5,41.56,39.95,49.08,47.5,51.14,40.76
152.5,51.01,49.5,48.06,47.44,41.5,40.01,49.01,47.44,51.01,40.76
152.75,51.01,49.44,48,47.44,41.44,39.95,48.98,47.44,51.01,40.7
153,50.95,49.44,47.88,47.38,41.38,39.89,48.92,47.38,50.95,40.64
153.25,50.89,49.31,47.88,47.31,41.38,39.83,48.85,47.31,50.89,40.61
153.5,50.89,49.31,47.81,47.31,41.31,39.83,48.83,47.31,50.89,40.57
153.75,50.76,49.25,47.81,47.25,41.31,39.76,48.77,47.25,50.76,40.54
154,50.7,49.19,47.75,47.19,41.25,39.7,48.71,47.19,50.7,40.48
154.25,50.64,49.12,47.69,47.12,41.25,39.7,48.65,47.12,50.64,40.48
154.5,50.58,49.06,47.62,47.12,41.19,39.64,48.6,47.12,50.58,40.42
154.75,50.51,48.94,47.56,47.06,41.12,39.64,48.52,47.06,50.51,40.38
155,50.39,48.88,47.44,47,41.06,39.58,48.43,47,50.39,40.32
155.25,50.39,48.88,47.5,47,41.06,39.58,48.45,47,50.39,40.32
155.5,50.33,48.81,47.44,46.94,41,39.51,48.38,46.94,50.33,40.26
155.75,50.26,48.75,47.38,46.94,41,39.45,48.34,46.94,50.26,40.23
156,50.14,48.69,47.31,46.88,40.94,39.39,48.26,46.88,50.14,40.17
156.25,50.14,48.62,47.31,46.81,40.94,39.39,48.22,46.81,50.14,40.17
156.5,50.08,48.62,47.25,46.81,40.88,39.26,48.19,46.81,50.08,40.07
156.75,50.01,48.5,47.25,46.69,40.81,39.33,48.12,46.69,50.01,40.07
157,49.95,48.44,47.19,46.69,40.75,39.2,48.07,46.69,49.95,39.98
157.25,49.89,48.44,47.12,46.62,40.75,39.2,48.02,46.62,49.89,39.98
157.5,49.76,48.38,47,46.56,40.75,39.14,47.93,46.56,49.76,39.95
157.75,49.76,48.31,47,46.56,40.69,39.14,47.91,46.56,49.76,39.92
158,49.7,48.25,46.94,46.5,40.62,39.08,47.85,46.5,49.7,39.85
158.25,49.64,48.19,46.88,46.44,40.56,39.08,47.79,46.44,49.64,39.82
158.5,49.51,48.12,46.88,46.44,40.5,39.08,47.74,46.44,49.51,39.79
158.75,49.45,48.06,46.88,46.38,40.44,39.01,47.7,46.38,49.45,39.73
159,49.39,48.06,46.81,46.31,40.5,38.89,47.65,46.31,49.39,39.7
159.25,49.33,47.94,46.75,46.25,40.38,38.89,47.57,46.25,49.33,39.64
159.5,49.26,47.94,46.75,46.25,40.38,38.83,47.55,46.25,49.26,39.61
159.75,49.2,47.81,46.62,46.19,40.38,38.83,47.46,46.19,49.2,39.61
160,49.2,47.81,46.56,46.19,40.31,38.7,47.45,46.19,49.2,39.51
160.25,49.08,47.69,46.56,46.06,40.25,38.7,47.35,46.06,49.08,39.48
160.5,49.01,47.62,46.5,46.06,40.19,38.7,47.3,46.06,49.01,39.45
160.75,48.95,47.56,46.44,46,40.19,38.64,47.24,46,48.95,39.42
161,48.89,47.56,46.38,46,40.12,38.58,47.21,46,48.89,39.35
161.25,48.83,47.5,46.38,45.94,40.06,38.51,47.17,45.94,48.83,39.29
161.5,48.76,47.44,46.31,45.88,40,38.51,47.1,45.88,48.76,39.26
161.75,48.7,47.38,46.25,45.81,40,38.45,47.04,45.81,48.7,39.23
162,48.7,47.38,46.25,45.75,39.94,38.39,47.02,45.75,48.7,39.17
162.25,48.58,47.25,46.25,45.69,39.94,38.39,46.95,45.69,48.58,39.17
162.5,48.51,47.25,46.12,45.69,39.88,38.33,46.9,45.69,48.51,39.11
162.75,48.45,47.19,46.12,45.62,39.81,38.26,46.85,45.62,48.45,39.04
163,48.39,47.12,46.06,45.56,39.81,38.26,46.79,45.56,48.39,39.04
163.25,48.33,47,46.06,45.5,39.69,38.2,46.73,45.5,48.33,38.95
163.5,48.33,47,45.94,45.44,39.69,38.14,46.68,45.44,48.33,38.92
163.75,48.2,46.94,45.94,45.38,39.69,38.14,46.62,45.38,48.2,38.92
164,48.14,46.88,45.88,45.38,39.62,38.08,46.57,45.38,48.14,38.85
164.25,48.08,46.88,45.81,45.31,39.56,38.01,46.52,45.31,48.08,38.79
164.5,48.01,46.75,45.75,45.25,39.5,38.01,46.44,45.25,48.01,38.76
164.75,48.01,46.75,45.75,45.25,39.5,37.95,46.44,45.25,48.01,38.73
165,47.89,46.62,45.75,45.12,39.5,37.89,46.35,45.12,47.89,38.7
165.25,47.83,46.56,45.69,45.12,39.44,37.83,46.31,45.12,47.83,38.64
165.5,47.76,46.56,45.56,45.06,39.44,37.89,46.24,45.06,47.76,38.67
165.75,47.76,46.5,45.56,45.06,39.38,37.76,46.22,45.06,47.76,38.57
166,47.7,46.44,45.5,45,39.31,37.7,46.16,45,47.7,38.51
166.25,47.64,46.38,45.5,44.94,39.31,37.7,46.12,44.94,47.64,38.51
166.5,47.51,46.38,45.44,44.88,39.25,37.64,46.06,44.88,47.51,38.45
166.75,47.51,46.31,45.44,44.88,39.19,37.64,46.04,44.88,47.51,38.42
167,47.45,46.25,45.44,44.75,39.12,37.51,45.98,44.75,47.45,38.32
167.25,47.45,46.19,45.38,44.75,39.06,37.51,45.95,44.75,47.45,38.29
167.5,47.39,46.19,45.38,44.69,39.06,37.51,45.92,44.69,47.39,38.29
167.75,47.33,46.06,45.25,44.62,39,37.45,45.82,44.62,47.33,38.23
168,47.26,46.06,45.25,44.56,39,37.39,45.79,44.56,47.26,38.2
168.25,47.2,46,45.19,44.5,38.94,37.33,45.73,44.5,47.2,38.14
168.5,47.2,45.94,45.12,44.44,38.88,37.26,45.68,44.44,47.2,38.07
168.75,47.14,45.88,45.12,44.44,38.88,37.2,45.65,44.44,47.14,38.04
169,47.08,45.81,45.06,44.38,38.88,37.2,45.59,44.38,47.08,38.04
169.25,47.01,45.81,44.94,44.31,38.81,37.2,45.52,44.31,47.01,38.01
169.5,46.95,45.75,44.94,44.31,38.81,37.14,45.49,44.31,46.95,37.98
169.75,46.89,45.69,44.88,44.25,38.69,37.08,45.43,44.25,46.89,37.89
170,46.89,45.69,44.81,44.19,38.69,37.08,45.4,44.19,46.89,37.89
170.25,46.76,45.62,44.81,44.12,38.62,37.01,45.33,44.12,46.76,37.82
170.5,46.76,45.62,44.75,44.12,38.62,37.01,45.32,44.12,46.76,37.82
170.75,46.7,45.5,44.75,44.06,38.56,36.95,45.26,44.06,46.7,37.76
171,46.64,45.5,44.69,44,38.56,36.95,45.21,44,46.64,37.76
171.25,46.64,45.38,44.62,43.94,38.56,36.89,45.15,43.94,46.64,37.73
171.5,46.58,45.38,44.56,43.94,38.5,36.89,45.12,43.94,46.58,37.7
171.75,46.51,45.31,44.62,43.88,38.44,36.83,45.08,43.88,46.51,37.64
172,46.45,45.31,44.5,43.81,38.44,36.76,45.02,43.81,46.45,37.6
172.25,46.45,45.25,44.5,43.81,38.31,36.76,45.01,43.81,46.45,37.54
172.5,46.39,45.25,44.44,43.75,38.31,36.76,44.96,43.75,46.39,37.54
172.75,46.39,45.12,44.38,43.69,38.31,36.7,44.9,43.69,46.39,37.51
173,46.33,45.12,44.38,43.69,38.25,36.64,44.89,43.69,46.33,37.45
173.25,46.26,45.06,44.31,43.62,38.25,36.64,44.82,43.62,46.26,37.45
173.5,46.26,45.06,44.25,43.56,38.19,36.58,44.79,43.56,46.26,37.39
173.75,46.14,45,44.19,43.56,38.19,36.58,44.73,43.56,46.14,37.39
174,46.14,44.94,44.12,43.5,38.19,36.58,44.68,43.5,46.14,37.39
174.25,46.08,45,44.12,43.5,38.06,36.51,44.68,43.5,46.08,37.29
174.5,46.08,44.94,44.12,43.5,38.06,36.51,44.66,43.5,46.08,37.29
174.75,46.01,44.88,44.06,43.44,38,36.51,44.6,43.44,46.01,37.26
175,46.01,44.88,44.06,43.31,37.94,36.45,44.57,43.31,46.01,37.2
175.25,45.95,44.81,44,43.31,37.94,36.39,44.52,43.31,45.95,37.17
175.5,45.89,44.81,43.88,43.31,37.94,36.39,44.48,43.31,45.89,37.17
175.75,45.83,44.75,43.88,43.25,37.88,36.33,44.43,43.25,45.83,37.11
176,45.83,44.75,43.81,43.19,37.81,36.26,44.4,43.19,45.83,37.04
176.25,45.76,44.62,43.75,43.19,37.81,36.26,44.33,43.19,45.76,37.04
176.5,45.7,44.69,43.75,43.12,37.75,36.26,44.32,43.12,45.7,37.01
176.75,45.7,44.56,43.69,43.06,37.69,36.2,44.26,43.06,45.7,36.95
177,45.64,44.56,43.62,43.06,37.62,36.14,44.22,43.06,45.64,36.88
177.25,45.58,44.56,43.56,43,37.56,36.14,44.18,43,45.58,36.85
177.5,45.58,44.5,43.5,42.94,37.56,36.08,44.13,42.94,45.58,36.82
177.75,45.51,44.5,43.5,42.94,37.56,36.08,44.12,42.94,45.51,36.82
178,45.45,44.5,43.44,42.88,37.5,36.01,44.07,42.88,45.45,36.76
178.25,45.45,44.44,43.38,42.88,37.44,36.01,44.04,42.88,45.45,36.73
178.5,45.45,44.38,43.31,42.75,37.44,35.95,43.98,42.75,45.45,36.7
178.75,45.39,44.38,43.31,42.81,37.31,35.89,43.98,42.81,45.39,36.6
179,45.33,44.31,43.19,42.75,37.31,35.83,43.9,42.75,45.33,36.57
179.25,45.33,44.31,43.12,42.75,37.31,35.83,43.88,42.75,45.33,36.57
179.5,45.26,44.31,43.19,42.69,37.19,35.76,43.87,42.69,45.26,36.48
179.75,45.2,44.25,43.06,42.62,37.19,35.76,43.79,42.62,45.2,36.48
180,45.2,44.31,43.06,42.56,37.12,35.76,43.79,42.56,45.2,36.44
