INDEX,Idx,D,H,M,S,PIR,TILT,GAS,DIST
0,60020,0,16,40,20,1,1,851,4.42
1,60021,0,16,40,21,1,1,1023,5.22
2,60022,0,16,40,22,0,1,1023,5.23
3,60023,0,16,40,23,0,1,1023,5.23
4,60024,0,16,40,24,0,1,1023,5.39
5,60025,0,16,40,25,0,1,1023,5.51
6,60026,0,16,40,26,0,1,1023,5.56
7,60027,0,16,40,27,1,1,1023,9.74
8,60028,0,16,40,28,1,1,1023,12.44
9,60029,0,16,40,29,1,1,1023,16.03
10,60030,0,16,40,30,1,0,1023,16.03
11,60031,0,16,40,31,1,1,1023,16.1
12,60032,0,16,40,32,1,1,1023,16.55
13,60033,0,16,40,33,0,1,1023,15.96
14,60034,0,16,40,34,0,1,1023,15.96
15,60035,0,16,40,35,0,1,1023,16.63
16,60036,0,16,40,36,1,1,1023,15.96
17,60037,0,16,40,37,1,1,986,16.1
18,60038,0,16,40,38,0,1,761,15.96
19,60039,0,16,40,39,0,1,647,15.47
20,60040,0,16,40,40,0,1,567,17.2
21,60041,0,16,40,41,0,1,492,17.2
22,60042,0,16,40,42,0,1,443,17.2
23,60043,0,16,40,43,0,1,396,29.85
24,60044,0,16,40,44,0,1,360,38.92
25,60045,0,16,40,45,0,1,329,71.96
26,60046,0,16,40,46,0,1,302,17.2
27,60047,0,16,40,47,0,1,279,32.19
28,60048,0,16,40,48,0,1,259,55.45
29,60049,0,16,40,49,0,1,242,44.97
30,60050,0,16,40,50,0,1,228,42.44
31,60051,0,16,40,51,0,1,218,32.19
32,60052,0,16,40,52,0,1,208,6.7
33,60053,0,16,40,53,0,0,198,7.62
34,60054,0,16,40,54,0,0,193,9.24
35,60055,0,16,40,55,0,0,186,9.21
36,60056,0,16,40,56,0,0,181,193.59
37,60057,0,16,40,57,0,0,177,151.07
38,60058,0,16,40,58,0,0,171,193.59
39,60059,0,16,40,59,0,0,167,203.03
40,60060,0,16,41,0,0,0,162,193.59
41,60061,0,16,41,1,0,0,159,203.03
42,60062,0,16,41,2,0,0,153,193.59
43,60063,0,16,41,3,0,0,152,193.59
44,60064,0,16,41,4,0,0,149,203.03
45,60065,0,16,41,5,0,0,146,193.59
46,60066,0,16,41,6,0,0,143,193.59
47,60067,0,16,41,7,0,0,141,203.03
48,60068,0,16,41,8,0,0,138,203.03
49,60069,0,16,41,9,0,0,137,193.59
50,60070,0,16,41,10,0,0,135,193.59
51,60071,0,16,41,11,0,0,133,193.59
52,60072,0,16,41,12,0,0,132,203.03
53,60073,0,16,41,13,0,0,130,203.03
54,60074,0,16,41,14,0,0,129,193.59
55,60075,0,16,41,15,0,0,127,193.59
56,60076,0,16,41,16,0,0,126,203.03
57,60077,0,16,41,17,0,0,125,203.03
58,60078,0,16,41,18,0,0,124,193.59
59,60079,0,16,41,19,0,0,123,193.59
60,60080,0,16,41,20,0,0,122,203.03
61,60081,0,16,41,21,0,0,121,203.03
62,60082,0,16,41,22,0,0,121,193.59
63,60083,0,16,41,23,0,0,120,193.59
64,60084,0,16,41,24,0,0,119,203.03
65,60085,0,16,41,25,0,0,118,203.03
66,60086,0,16,41,26,0,0,118,193.59
67,60087,0,16,41,27,0,0,116,193.59
68,60088,0,16,41,28,0,0,116,203.03
69,60089,0,16,41,29,0,0,115,203.03
70,60090,0,16,41,30,0,0,113,203.03
71,60091,0,16,41,31,0,0,114,203.03
72,60092,0,16,41,32,0,0,114,203.03
