INDEX,Idx,D,H,M,S,PIR,TILT,GAS,DIST
0,139951,1,14,52,31,1,1,731,4.37
1,139952,1,14,52,32,1,1,929,5.42
2,139953,1,14,52,33,0,1,1023,6.91
3,139954,1,14,52,34,0,1,1023,5.02
4,139955,1,14,52,35,0,1,1023,5.82
5,139956,1,14,52,36,0,0,1023,5.48
6,139957,1,14,52,37,0,0,1023,4.36
7,139958,1,14,52,38,0,0,1023,17.28
8,139959,1,14,52,39,0,0,1023,11.02
9,139960,1,14,52,40,0,0,1023,17.62
10,139961,1,14,52,41,0,0,1023,7.15
11,139962,1,14,52,42,0,0,1023,10.64
12,139963,1,14,52,43,0,0,1023,19.66
13,139964,1,14,52,44,0,1,1023,25.85
14,139965,1,14,52,45,0,0,1023,17.98
15,139966,1,14,52,46,0,0,1023,8.48
16,139967,1,14,52,47,0,0,957,8.46
17,139968,1,14,52,48,0,0,814,8.48
18,139969,1,14,52,49,0,0,666,8.5
19,139970,1,14,52,50,0,0,549,8.46
20,139971,1,14,52,51,0,0,486,8.48
21,139972,1,14,52,52,0,0,437,24.79
22,139973,1,14,52,53,0,1,400,5.6
23,139974,1,14,52,54,0,1,375,5.49
24,139975,1,14,52,55,0,0,350,21.94
25,139976,1,14,52,56,0,1,325,23.36
26,139977,1,14,52,57,0,1,307,6.16
27,139978,1,14,52,58,0,0,291,4.26
28,139979,1,14,52,59,0,0,276,6.68
29,139980,1,14,53,0,0,0,259,23.06
30,139981,1,14,53,1,0,1,245,26.6
31,139982,1,14,53,2,0,1,233,30.85
32,139983,1,14,53,3,1,1,224,12.44
33,139984,1,14,53,4,1,1,213,9.16
34,139985,1,14,53,5,1,1,204,40.61
35,139986,1,14,53,6,1,0,196,19.99
36,139987,1,14,53,7,1,0,188,30.09
37,139988,1,14,53,8,1,0,182,14.16
38,139989,1,14,53,9,1,0,177,14.57
39,139990,1,14,53,10,1,0,171,7.29
40,139991,1,14,53,11,1,0,165,7.19
41,139992,1,14,53,12,1,0,163,7.12
42,139993,1,14,53,13,1,0,159,7.12
43,139994,1,14,53,14,1,0,155,7.09
44,139995,1,14,53,15,1,0,152,7.1
45,139996,1,14,53,16,1,0,150,7.09
46,139997,1,14,53,17,1,0,147,7.09
47,139998,1,14,53,18,1,0,144,7.1
48,139999,1,14,53,19,1,0,141,7.09
49,140000,1,14,53,20,1,0,139,7.1
50,140001,1,14,53,21,1,0,137,7.09
51,140002,1,14,53,22,1,0,134,7.09
52,140003,1,14,53,23,1,0,132,7.09
53,140004,1,14,53,24,1,0,132,7.1
54,140005,1,14,53,25,1,0,130,7.09
55,140006,1,14,53,26,1,0,129,7.09
56,140007,1,14,53,27,1,0,127,7.09
57,140008,1,14,53,28,1,0,126,7.1
