INDEX,Idx,D,H,M,S,PIR,TILT,GAS,DIST
0,65165,0,18,6,5,1,1,772,25.49
1,65166,0,18,6,6,1,1,964,28.68
2,65167,0,18,6,7,1,1,1023,29.37
3,65168,0,18,6,8,1,0,1023,20.92
4,65169,0,18,6,9,1,0,1023,6.55
5,65170,0,18,6,10,1,0,1023,5.63
6,65171,0,18,6,11,1,0,1023,9.26
7,65172,0,18,6,12,1,0,1023,7.42
8,65173,0,18,6,13,1,0,1023,8.15
9,65174,0,18,6,14,1,0,1023,7.55
10,65175,0,18,6,15,1,0,1023,8.31
11,65176,0,18,6,16,1,0,1018,7.42
12,65177,0,18,6,17,1,0,968,7.23
13,65178,0,18,6,18,1,0,931,8.19
14,65179,0,18,6,19,1,0,871,8.19
15,65180,0,18,6,20,1,0,821,8.17
16,65181,0,18,6,21,1,0,765,8.17
17,65182,0,18,6,22,1,0,714,8.17
18,65183,0,18,6,23,1,0,668,8.17
19,65184,0,18,6,24,1,0,632,8.19
20,65185,0,18,6,25,1,0,602,8.17
21,65186,0,18,6,26,1,0,579,8.17
22,65187,0,18,6,27,1,0,551,8.17
23,65188,0,18,6,28,1,0,538,8.17
24,65189,0,18,6,29,1,0,521,8.17
25,65190,0,18,6,30,1,0,503,8.17
26,65191,0,18,6,31,1,0,487,8.19
27,65192,0,18,6,32,1,0,470,8.17
28,65193,0,18,6,33,1,0,453,8.17
29,65194,0,18,6,34,1,0,437,8.17
30,65195,0,18,6,35,1,0,420,8.17
31,65196,0,18,6,36,1,0,404,8.17
32,65197,0,18,6,37,1,0,388,8.17
33,65198,0,18,6,38,1,0,374,8.17
34,65199,0,18,6,39,0,0,360,8.17
35,65200,0,18,6,40,0,0,343,8.17
36,65201,0,18,6,41,0,0,334,8.19
37,65202,0,18,6,42,0,0,322,8.17
38,65203,0,18,6,43,1,0,312,8.17
39,65204,0,18,6,44,1,0,302,8.17
40,65205,0,18,6,45,1,0,293,8.17
41,65206,0,18,6,46,1,0,284,8.17
42,65207,0,18,6,47,1,0,277,8.15
43,65208,0,18,6,48,1,0,270,8.17
44,65209,0,18,6,49,1,0,262,8.17
45,65210,0,18,6,50,1,0,257,8.17
46,65211,0,18,6,51,1,0,251,8.17
47,65212,0,18,6,52,1,0,246,8.17
48,65213,0,18,6,53,1,0,241,8.17
49,65214,0,18,6,54,1,0,237,8.17
50,65215,0,18,6,55,1,0,232,8.17
51,65216,0,18,6,56,1,0,228,8.17
52,65217,0,18,6,57,1,0,226,8.17
53,65218,0,18,6,58,1,0,221,8.17
54,65219,0,18,6,59,1,0,217,8.17
55,65220,0,18,7,0,1,0,215,8.17
56,65221,0,18,7,1,1,0,212,8.17
57,65222,0,18,7,2,0,0,208,8.17
58,65223,0,18,7,3,0,0,205,8.17
