INDEX,Idx,D,H,M,S,PIR,TILT,GAS,DIST
0,138575,1,14,29,35,1,1,726,4.79
1,138576,1,14,29,36,1,1,974,4.99
2,138577,1,14,29,37,0,1,1023,4.89
3,138578,1,14,29,38,0,0,1023,4.91
4,138579,1,14,29,39,0,1,1023,4.28
5,138580,1,14,29,40,0,1,1023,3.78
6,138581,1,14,29,41,0,1,1023,3.75
7,138582,1,14,29,42,0,1,1023,3.67
8,138583,1,14,29,43,1,1,1023,3.67
9,138584,1,14,29,44,1,1,1023,4.01
10,138585,1,14,29,45,0,1,1023,3.81
11,138586,1,14,29,46,0,1,1023,3.85
12,138587,1,14,29,47,0,1,1023,3.81
13,138588,1,14,29,48,0,1,1023,3.82
14,138589,1,14,29,49,0,1,1023,3.8
15,138590,1,14,29,50,0,1,1023,4.05
16,138591,1,14,29,51,0,1,1023,3.84
17,138592,1,14,29,52,0,1,1023,3.73
18,138593,1,14,29,53,0,1,1004,3.66
19,138594,1,14,29,54,0,1,922,3.81
20,138595,1,14,29,55,0,1,858,3.98
21,138596,1,14,29,56,0,1,806,16.71
22,138597,1,14,29,57,0,1,760,156.85
23,138598,1,14,29,58,0,1,719,94.41
24,138599,1,14,29,59,0,1,679,17.71
25,138600,1,14,30,0,0,1,640,17.71
26,138601,1,14,30,1,0,1,602,23.06
27,138602,1,14,30,2,0,1,567,23.06
28,138603,1,14,30,3,0,1,534,8.39
29,138604,1,14,30,4,0,1,505,8.21
30,138605,1,14,30,5,0,1,478,8.63
31,138606,1,14,30,6,0,1,454,10.95
32,138607,1,14,30,7,0,1,433,24.13
33,138608,1,14,30,8,0,1,413,48.41
34,138609,1,14,30,9,0,1,393,119.87
35,138610,1,14,30,10,0,1,377,82.57
36,138611,1,14,30,11,0,1,362,77.67
37,138612,1,14,30,12,0,1,348,123.53
38,138613,1,14,30,13,0,1,337,127.43
39,138614,1,14,30,14,0,1,324,94.41
40,138615,1,14,30,15,0,1,313,104.29
41,138616,1,14,30,16,0,1,305,65.86
42,138617,1,14,30,17,0,1,299,156.85
43,138618,1,14,30,18,0,1,293,156.85
44,138619,1,14,30,19,0,1,286,64.76
45,138620,1,14,30,20,0,1,279,4.21
46,138621,1,14,30,21,0,1,273,3.74
47,138622,1,14,30,22,0,1,265,4.69
48,138623,1,14,30,23,0,0,256,10.64
49,138624,1,14,30,24,0,0,250,7.57
50,138625,1,14,30,25,0,0,245,7.6
51,138626,1,14,30,26,0,0,246,7.62
52,138627,1,14,30,27,0,0,242,7.6
