INDEX,Idx,D,H,M,S,PIR,TILT,GAS,DIST
0,65146,0,18,5,46,1,1,522,19.77
1,65147,0,18,5,47,1,1,720,20.8
2,65148,0,18,5,48,0,1,829,17.28
3,65149,0,18,5,49,0,1,931,9.79
4,65150,0,18,5,50,0,1,1013,18.54
5,65151,0,18,5,51,0,0,1023,7.57
6,65152,0,18,5,52,0,1,1023,9.52
7,65153,0,18,5,53,0,1,1023,7.85
8,65154,0,18,5,54,0,0,1023,6.87
9,65155,0,18,5,55,0,0,1023,5.91
10,65156,0,18,5,56,0,0,1023,6.0
11,65157,0,18,5,57,1,0,1023,8.63
12,65158,0,18,5,58,1,0,1023,9.74
13,65159,0,18,5,59,1,1,1023,9.85
14,65160,0,18,6,0,1,0,1023,16.95
15,65161,0,18,6,1,1,0,1023,8.74
16,65162,0,18,6,2,1,0,1023,8.76
17,65163,0,18,6,3,1,0,1023,8.74
18,65164,0,18,6,4,1,0,1023,8.76
19,65165,0,18,6,5,1,0,1023,8.79
20,65166,0,18,6,6,1,0,1015,8.76
21,65167,0,18,6,7,1,0,905,8.74
22,65168,0,18,6,8,1,0,768,8.74
23,65169,0,18,6,9,1,0,664,8.76
24,65170,0,18,6,10,1,0,572,8.76
25,65171,0,18,6,11,1,0,505,8.76
26,65172,0,18,6,12,1,0,457,8.76
27,65173,0,18,6,13,1,0,423,8.76
28,65174,0,18,6,14,1,0,394,8.76
29,65175,0,18,6,15,1,0,370,8.74
30,65176,0,18,6,16,1,0,348,8.76
31,65177,0,18,6,17,1,0,327,8.48
32,65178,0,18,6,18,1,0,299,22.21
33,65179,0,18,6,19,1,0,284,7.96
34,65180,0,18,6,20,1,0,270,8.72
35,65181,0,18,6,21,1,0,261,8.72
36,65182,0,18,6,22,1,0,251,8.74
37,65183,0,18,6,23,1,0,241,8.74
38,65184,0,18,6,24,1,0,232,8.74
39,65185,0,18,6,25,1,0,220,8.74
40,65186,0,18,6,26,1,0,215,8.74
41,65187,0,18,6,27,1,0,207,8.72
42,65188,0,18,6,28,1,0,200,8.74
43,65189,0,18,6,29,1,0,193,8.74
44,65190,0,18,6,30,1,0,187,8.72
45,65191,0,18,6,31,1,0,181,8.74
46,65192,0,18,6,32,1,0,174,22.91
47,65193,0,18,6,33,1,0,169,19.88
48,65194,0,18,6,34,1,0,163,24.13
49,65195,0,18,6,35,1,0,159,23.82
50,65196,0,18,6,36,1,0,156,23.21
51,65197,0,18,6,37,1,0,155,18.35
52,65198,0,18,6,38,1,0,154,11.61
53,65199,0,18,6,39,1,0,152,9.5
54,65200,0,18,6,40,1,0,151,9.97
55,65201,0,18,6,41,1,0,150,11.09
56,65202,0,18,6,42,1,0,148,16.25
57,65203,0,18,6,43,1,0,147,16.71
58,65204,0,18,6,44,1,0,145,8.74
59,65205,0,18,6,45,1,0,143,12.49
60,65206,0,18,6,46,1,1,142,6.15
61,65207,0,18,6,47,1,0,141,7.64
62,65208,0,18,6,48,1,0,141,7.0
63,65209,0,18,6,49,1,0,140,8.52
64,65210,0,18,6,50,1,0,140,8.15
65,65211,0,18,6,51,1,0,139,9.16
66,65212,0,18,6,52,1,0,140,8.46
67,65213,0,18,6,53,1,0,140,6.56
68,65214,0,18,6,54,1,0,139,6.51
69,65215,0,18,6,55,1,0,140,6.52
70,65216,0,18,6,56,1,0,139,6.52
71,65217,0,18,6,57,1,0,138,6.53
72,65218,0,18,6,58,1,0,138,6.52
73,65219,0,18,6,59,1,0,137,6.53
74,65220,0,18,7,0,1,0,136,6.51
75,65221,0,18,7,1,1,0,136,6.51
76,65222,0,18,7,2,1,0,134,6.53
77,65223,0,18,7,3,1,0,134,6.53
78,65224,0,18,7,4,1,0,133,6.52
79,65225,0,18,7,5,0,0,132,6.52
80,65226,0,18,7,6,0,0,131,6.52
81,65227,0,18,7,7,0,0,131,6.51
82,65228,0,18,7,8,0,0,130,6.52
83,65229,0,18,7,9,0,0,130,6.52
84,65230,0,18,7,10,0,0,129,6.52
85,65231,0,18,7,11,0,0,129,6.52
86,65232,0,18,7,12,0,0,129,6.52
87,65233,0,18,7,13,0,0,128,6.53
88,65234,0,18,7,14,0,0,128,6.51
89,65235,0,18,7,15,0,0,128,6.52
90,65236,0,18,7,16,0,0,127,6.52
91,65237,0,18,7,17,0,0,127,6.53
92,65238,0,18,7,18,0,0,126,6.53
93,65239,0,18,7,19,0,0,126,6.52
94,65240,0,18,7,20,0,0,126,6.52
95,65241,0,18,7,21,0,0,125,6.52
96,65242,0,18,7,22,0,0,124,6.51
97,65243,0,18,7,23,0,0,124,6.52
98,65244,0,18,7,24,0,0,125,6.52
99,65245,0,18,7,25,0,0,124,6.53
100,65246,0,18,7,26,0,0,123,6.52
101,65247,0,18,7,27,0,0,123,6.52
102,65248,0,18,7,28,0,0,122,6.51
103,65249,0,18,7,29,0,0,122,6.55
104,65250,0,18,7,30,0,0,122,6.53
105,65251,0,18,7,31,0,0,122,6.53
106,65252,0,18,7,32,0,0,122,6.51
107,65253,0,18,7,33,0,0,122,6.52
108,65254,0,18,7,34,0,0,122,6.51
109,65255,0,18,7,35,0,0,121,6.52
110,65256,0,18,7,36,0,0,118,6.52
111,65257,0,18,7,37,0,0,120,6.52
112,65258,0,18,7,38,0,0,119,6.51
113,65259,0,18,7,39,0,0,118,6.52
114,65260,0,18,7,40,0,0,119,6.53
115,65261,0,18,7,41,0,0,118,6.52
116,65262,0,18,7,42,0,0,118,6.51
117,65263,0,18,7,43,0,0,118,6.5
118,65264,0,18,7,44,0,0,117,6.52
119,65265,0,18,7,45,0,0,118,6.53
120,65266,0,18,7,46,0,0,117,6.53
121,65267,0,18,7,47,0,0,117,6.52
122,65268,0,18,7,48,0,0,118,6.51
123,65269,0,18,7,49,0,0,118,6.52
124,65270,0,18,7,50,0,0,117,6.51
125,65271,0,18,7,51,0,0,117,6.51
126,65272,0,18,7,52,0,0,117,6.52
127,65273,0,18,7,53,0,0,118,6.52
128,65274,0,18,7,54,0,0,116,6.52
129,65275,0,18,7,55,0,0,117,6.53
130,65276,0,18,7,56,0,0,116,6.52
131,65277,0,18,7,57,0,0,116,6.52
132,65278,0,18,7,58,0,0,116,6.52
133,65279,0,18,7,59,0,0,116,6.53
134,65280,0,18,8,0,0,0,116,6.52
135,65281,0,18,8,1,0,0,116,6.51
136,65282,0,18,8,2,0,0,116,6.52
137,65283,0,18,8,3,0,0,114,6.53
138,65284,0,18,8,4,0,0,116,6.51
139,65285,0,18,8,5,0,0,115,6.52
140,65286,0,18,8,6,0,0,114,6.52
141,65287,0,18,8,7,0,0,115,6.52
142,65288,0,18,8,8,0,0,114,6.53
143,65289,0,18,8,9,0,0,115,6.51
144,65290,0,18,8,10,0,0,115,6.51
145,65291,0,18,8,11,0,0,114,6.52
146,65292,0,18,8,12,0,0,115,6.51
147,65293,0,18,8,13,1,0,113,6.52
148,65294,0,18,8,14,1,0,114,6.51
149,65295,0,18,8,15,1,0,112,6.51
150,65296,0,18,8,16,1,0,113,6.52
151,65297,0,18,8,17,1,0,113,6.5
152,65298,0,18,8,18,0,0,114,6.52
153,65299,0,18,8,19,0,0,112,6.52
154,65300,0,18,8,20,0,0,112,6.52
155,65301,0,18,8,21,0,0,111,6.51
156,65302,0,18,8,22,1,0,111,6.51
157,65303,0,18,8,23,1,0,111,6.51
158,65304,0,18,8,24,1,0,111,6.52
159,65305,0,18,8,25,1,0,109,6.53
160,65306,0,18,8,26,1,0,109,6.51
161,65307,0,18,8,27,1,0,109,6.52
162,65308,0,18,8,28,1,0,110,6.53
163,65309,0,18,8,29,1,0,109,6.51
164,65310,0,18,8,30,1,0,109,6.53
165,65311,0,18,8,31,1,0,108,6.52
166,65312,0,18,8,32,1,0,109,6.53
167,65313,0,18,8,33,0,0,107,6.52
168,65314,0,18,8,34,0,0,106,6.52
169,65315,0,18,8,35,0,0,106,6.51
170,65316,0,18,8,36,0,0,106,6.52
171,65317,0,18,8,37,1,0,106,6.51
172,65318,0,18,8,38,1,0,106,6.52
173,65319,0,18,8,39,1,0,106,6.51
174,65320,0,18,8,40,1,0,106,6.52
175,65321,0,18,8,41,1,0,105,6.52
176,65322,0,18,8,42,1,0,104,6.53
177,65323,0,18,8,43,1,0,104,6.51
178,65324,0,18,8,44,1,0,105,6.51
179,65325,0,18,8,45,1,0,104,6.53
180,65326,0,18,8,46,1,0,103,6.52
181,65327,0,18,8,47,1,0,103,6.52
182,65328,0,18,8,48,1,0,103,6.53
183,65329,0,18,8,49,1,0,103,6.55
184,65330,0,18,8,50,1,0,102,6.53
185,65331,0,18,8,51,1,0,103,6.52
186,65332,0,18,8,52,1,0,103,6.53
187,65333,0,18,8,53,1,0,103,6.53
188,65334,0,18,8,54,1,0,103,6.52
189,65335,0,18,8,55,1,0,101,6.53
190,65336,0,18,8,56,1,0,103,6.52
191,65337,0,18,8,57,1,0,102,6.52
192,65338,0,18,8,58,1,0,103,6.55
193,65339,0,18,8,59,1,0,103,6.55
194,65340,0,18,9,0,1,0,103,6.53
195,65341,0,18,9,1,1,0,102,6.53
196,65342,0,18,9,2,1,0,102,6.53
197,65343,0,18,9,3,1,0,102,6.52
198,65344,0,18,9,4,0,0,102,6.55
199,65345,0,18,9,5,0,0,102,6.53
200,65346,0,18,9,6,0,0,102,6.52
201,65347,0,18,9,7,1,0,103,6.52
202,65348,0,18,9,8,1,0,102,6.53
203,65349,0,18,9,9,1,0,101,6.52
204,65350,0,18,9,10,1,0,102,6.53
205,65351,0,18,9,11,1,0,101,6.53
206,65352,0,18,9,12,1,0,101,6.53
207,65353,0,18,9,13,1,0,101,6.53
208,65354,0,18,9,14,0,0,101,6.53
209,65355,0,18,9,15,0,0,102,6.52
210,65356,0,18,9,16,1,0,101,6.52
211,65357,0,18,9,17,1,0,101,6.53
212,65358,0,18,9,18,1,0,100,6.53
213,65359,0,18,9,19,1,0,102,6.52
214,65360,0,18,9,20,1,0,101,6.53
215,65361,0,18,9,21,0,0,100,6.52
216,65362,0,18,9,22,0,0,102,6.52
217,65363,0,18,9,23,0,0,101,6.51
218,65364,0,18,9,24,0,0,100,6.52
219,65365,0,18,9,25,0,0,101,6.52
220,65366,0,18,9,26,0,0,101,6.53
221,65367,0,18,9,27,0,0,102,6.52
222,65368,0,18,9,28,0,0,102,6.51
223,65369,0,18,9,29,0,0,100,6.51
224,65370,0,18,9,30,0,0,101,6.53
225,65371,0,18,9,31,0,0,101,6.53
226,65372,0,18,9,32,0,0,101,6.53
227,65373,0,18,9,33,0,0,101,6.53
228,65374,0,18,9,34,0,0,101,6.53
229,65375,0,18,9,35,0,0,101,6.53
230,65376,0,18,9,36,0,0,101,6.52
231,65377,0,18,9,37,0,0,101,6.53
232,65378,0,18,9,38,0,0,100,6.52
233,65379,0,18,9,39,1,0,101,6.53
234,65380,0,18,9,40,1,0,101,6.51
235,65381,0,18,9,41,1,0,101,6.53
236,65382,0,18,9,42,1,0,101,6.52
237,65383,0,18,9,43,1,0,100,6.52
238,65384,0,18,9,44,1,0,101,6.53
239,65385,0,18,9,45,1,0,101,6.52
240,65386,0,18,9,46,1,0,100,6.53
241,65387,0,18,9,47,1,0,100,6.52
242,65388,0,18,9,48,1,0,100,6.69
243,65389,0,18,9,49,1,0,100,6.7
244,65390,0,18,9,50,1,0,100,6.64
245,65391,0,18,9,51,1,0,100,6.62
246,65392,0,18,9,52,1,0,99,6.62
247,65393,0,18,9,53,1,0,99,6.62
248,65394,0,18,9,54,1,0,100,6.62
249,65395,0,18,9,55,1,0,100,6.62
250,65396,0,18,9,56,1,0,99,6.62
251,65397,0,18,9,57,1,0,100,6.62
252,65398,0,18,9,58,0,0,99,6.62
253,65399,0,18,9,59,0,0,99,6.62
254,65400,0,18,10,0,0,0,98,6.62
255,65401,0,18,10,1,0,0,98,6.62
256,65402,0,18,10,2,0,0,98,6.62
257,65403,0,18,10,3,0,0,97,6.62
258,65404,0,18,10,4,0,0,97,6.62
259,65405,0,18,10,5,0,0,98,6.62
260,65406,0,18,10,6,0,0,98,6.62
261,65407,0,18,10,7,0,0,97,6.62
262,65408,0,18,10,8,0,0,97,6.62
263,65409,0,18,10,9,0,0,97,6.62
264,65410,0,18,10,10,0,0,97,6.62
265,65411,0,18,10,11,0,0,97,6.62
266,65412,0,18,10,12,0,0,97,6.62
267,65413,0,18,10,13,0,0,97,6.62
268,65414,0,18,10,14,0,0,97,6.62
269,65415,0,18,10,15,0,0,97,6.62
270,65416,0,18,10,16,0,0,97,6.62
271,65417,0,18,10,17,0,0,96,6.62
272,65418,0,18,10,18,0,0,96,6.61
273,65419,0,18,10,19,0,0,97,6.62
274,65420,0,18,10,20,0,0,96,6.62
275,65421,0,18,10,21,0,0,96,6.62
276,65422,0,18,10,22,0,0,95,6.62
277,65423,0,18,10,23,0,0,96,6.62
278,65424,0,18,10,24,0,0,96,6.62
279,65425,0,18,10,25,0,0,96,6.62
280,65426,0,18,10,26,0,0,97,6.62
281,65427,0,18,10,27,0,0,96,6.61
282,65428,0,18,10,28,0,0,96,6.61
283,65429,0,18,10,29,0,0,96,6.62
284,65430,0,18,10,30,0,0,96,6.62
285,65431,0,18,10,31,0,0,96,6.62
286,65432,0,18,10,32,0,0,96,6.62
287,65433,0,18,10,33,0,0,96,6.61
288,65434,0,18,10,34,0,0,96,6.62
289,65435,0,18,10,35,0,0,95,6.62
290,65436,0,18,10,36,0,0,96,6.62
291,65437,0,18,10,37,0,0,95,6.61
292,65438,0,18,10,38,0,0,96,6.62
293,65439,0,18,10,39,0,0,95,6.62
294,65440,0,18,10,40,0,0,95,6.62
295,65441,0,18,10,41,0,0,95,6.62
296,65442,0,18,10,42,0,0,95,6.62
297,65443,0,18,10,43,0,0,96,6.61
298,65444,0,18,10,44,0,0,96,6.62
299,65445,0,18,10,45,0,0,95,6.61
300,65446,0,18,10,46,0,0,95,6.62
301,65447,0,18,10,47,0,0,95,6.62
302,65448,0,18,10,48,0,0,95,6.62
303,65449,0,18,10,49,0,0,95,6.62
304,65450,0,18,10,50,0,0,95,6.62
305,65451,0,18,10,51,0,0,95,6.61
306,65452,0,18,10,52,0,0,95,6.62
307,65453,0,18,10,53,0,0,95,6.62
308,65454,0,18,10,54,0,0,95,6.62
309,65455,0,18,10,55,0,0,95,6.62
310,65456,0,18,10,56,0,0,95,6.62
311,65457,0,18,10,57,0,0,95,6.62
312,65458,0,18,10,58,0,0,94,6.62
313,65459,0,18,10,59,0,0,94,6.62
314,65460,0,18,11,0,0,0,94,6.62
315,65461,0,18,11,1,1,0,95,6.62
316,65462,0,18,11,2,1,0,94,6.62
317,65463,0,18,11,3,1,0,93,6.62
318,65464,0,18,11,4,1,0,94,6.62
319,65465,0,18,11,5,1,0,93,6.62
320,65466,0,18,11,6,0,0,94,6.62
321,65467,0,18,11,7,0,0,94,6.62
322,65468,0,18,11,8,1,0,94,6.62
323,65469,0,18,11,9,1,0,93,6.62
324,65470,0,18,11,10,1,0,94,6.62
325,65471,0,18,11,11,1,0,93,6.62
326,65472,0,18,11,12,0,0,94,6.62
327,65473,0,18,11,13,0,0,94,6.61
328,65474,0,18,11,14,0,0,94,6.62
329,65475,0,18,11,15,0,0,94,6.61
330,65476,0,18,11,16,0,0,93,6.61
331,65477,0,18,11,17,0,0,93,6.62
332,65478,0,18,11,18,0,0,94,6.62
333,65479,0,18,11,19,0,0,93,6.62
334,65480,0,18,11,20,0,0,93,6.62
335,65481,0,18,11,21,0,0,93,6.62
336,65482,0,18,11,22,0,0,93,6.62
337,65483,0,18,11,23,0,0,94,6.62
338,65484,0,18,11,24,0,0,93,6.62
339,65485,0,18,11,25,0,0,93,6.62
340,65486,0,18,11,26,0,0,93,6.62
341,65487,0,18,11,27,0,0,93,6.62
342,65488,0,18,11,28,0,0,93,6.61
343,65489,0,18,11,29,0,0,92,6.61
344,65490,0,18,11,30,0,0,93,6.62
345,65491,0,18,11,31,0,0,93,6.62
346,65492,0,18,11,32,0,0,92,6.62
347,65493,0,18,11,33,0,0,92,6.61
348,65494,0,18,11,34,0,0,92,6.61
349,65495,0,18,11,35,0,0,93,6.61
350,65496,0,18,11,36,0,0,92,6.61
351,65497,0,18,11,37,0,0,93,6.62
352,65498,0,18,11,38,0,0,92,6.62
353,65499,0,18,11,39,0,0,93,6.62
354,65500,0,18,11,40,0,0,92,6.61
355,65501,0,18,11,41,0,0,92,6.61
356,65502,0,18,11,42,0,0,92,6.62
357,65503,0,18,11,43,0,0,92,6.62
358,65504,0,18,11,44,0,0,92,6.62
359,65505,0,18,11,45,0,0,92,6.62
360,68701,0,19,5,1,1,0,498,6.42
361,68702,0,19,5,2,1,0,597,6.72
362,68703,0,19,5,3,1,0,678,6.72
363,68704,0,19,5,4,1,0,702,6.72
364,68705,0,19,5,5,1,0,681,6.72
365,68706,0,19,5,6,1,0,643,6.72
366,68707,0,19,5,7,1,0,597,6.72
367,68708,0,19,5,8,1,0,545,6.72
368,68709,0,19,5,9,0,0,501,6.72
369,68710,0,19,5,10,0,0,468,6.72
370,68711,0,19,5,11,0,0,446,6.72
371,68712,0,19,5,12,0,0,430,6.72
372,68713,0,19,5,13,0,0,413,6.7
373,68714,0,19,5,14,1,0,399,6.72
374,68715,0,19,5,15,1,0,380,6.72
375,68716,0,19,5,16,1,0,360,6.72
