hours,bot,mid,top,tav
41.25,59.91,61.91,55.89,60.97
41.5,59.79,61.85,55.79,60.88
41.75,59.67,61.79,55.69,60.8
42,59.55,61.73,55.59,60.73
42.25,59.43,61.68,55.49,60.65
42.5,59.31,61.62,55.39,60.57
42.75,59.19,61.56,55.29,60.49
43,59.19,61.44,55.39,60.4
43.25,59.25,61.38,55.39,60.37
43.5,59.31,61.38,55.39,60.37
43.75,59.44,61.25,55.39,60.37
44,59.5,61.25,55.42,60.38
44.25,59.56,61.19,55.39,60.4
44.5,59.69,61.12,55.39,60.41
44.75,59.69,61.12,55.36,60.43
45,59.81,61.12,55.39,60.46
45.25,59.81,61.12,55.35,60.48
45.5,59.94,61.12,55.29,60.52
45.75,59.94,61.19,55.26,60.57
46,60,61.12,55.23,60.6
46.25,60.12,61.19,55.2,60.67
46.5,60.12,61.19,55.16,60.68
46.75,60.19,61.19,55.16,60.71
47,60.31,61.19,55.13,60.78
47.25,60.38,61.14,55.13,60.79
47.5,60.44,61.2,55.13,60.84
47.75,60.5,61.26,55.1,60.88
48,60.5,61.33,55.1,60.9
48.25,60.56,61.39,55.1,60.96
48.5,60.56,61.45,55.13,60.96
48.75,60.56,61.51,55.13,61.01
49,60.56,61.51,55.07,61.05
49.25,60.62,61.58,55.1,61.09
49.5,60.62,61.64,55.1,61.12
49.75,60.62,61.64,55.1,61.15
50,60.69,61.7,55.11,61.18
50.25,60.75,61.76,55.1,61.23
50.5,60.75,61.83,55.07,61.26
50.75,60.75,61.83,55.07,61.29
51,60.75,61.89,55.14,61.29
51.25,60.81,61.95,55.14,61.35
51.5,60.81,61.95,55.1,61.37
51.75,60.81,62.01,55.1,61.38
52,60.81,62.08,55.14,61.43
52.25,60.81,62.08,55.11,61.45
52.5,60.88,62.14,55.11,61.49
52.75,60.88,62.14,55.14,61.52
53,60.81,62.2,55.14,61.54
53.25,60.88,62.26,55.17,61.58
53.5,60.88,62.26,55.17,61.6
53.75,60.94,62.33,55.17,61.63
54,60.94,62.33,55.14,61.65
54.25,60.94,62.39,55.2,61.7
54.5,60.94,62.39,55.17,61.7
54.75,60.94,62.45,55.17,61.74
55,61,62.51,55.2,61.76
55.25,61,62.51,55.2,61.81
55.5,61,62.51,55.23,61.81
55.75,61.06,62.58,55.17,61.85
56,61,62.58,55.17,61.84
56.25,61.06,62.58,55.17,61.85
56.5,61.06,62.64,55.14,61.88
56.75,61.12,62.64,55.14,61.91
57,61.06,62.7,55.11,61.91
57.25,61.06,62.7,55.14,61.93
57.5,61.06,62.76,55.11,61.93
57.75,61.06,62.76,55.14,61.95
58,61.06,62.7,55.11,61.93
58.25,61.06,62.7,55.11,61.95
58.5,61.12,62.76,55.07,61.98
58.75,61.06,62.76,55.04,61.98
59,61.06,62.76,55.01,61.96
59.25,61.06,62.76,55.01,61.98
59.5,61.06,62.83,55.01,61.98
59.75,61.06,62.76,55.01,61.96
60,61,62.83,54.98,61.98
60.25,61.06,62.83,54.92,61.98
60.5,61,62.83,54.92,61.96
60.75,61,62.83,54.92,61.96
61,61,62.76,54.89,61.95
61.25,60.94,62.83,54.85,61.95
61.5,61,62.83,54.85,61.96
61.75,60.94,62.83,54.82,61.95
62,60.94,62.83,54.79,61.93
62.25,60.94,62.83,54.76,61.93
62.5,60.88,62.83,54.7,61.9
62.75,60.88,62.89,54.7,61.93
63,60.88,62.83,54.67,61.9
63.25,60.81,62.83,54.64,61.88
63.5,60.81,62.83,54.6,61.88
63.75,60.81,62.83,54.57,61.88
64,60.75,62.83,54.54,61.85
64.25,60.75,62.76,54.48,61.82
64.5,60.75,62.83,54.45,61.82
64.75,60.69,62.76,54.45,61.79
65,60.75,62.76,54.39,61.81
65.25,60.69,62.76,54.35,61.79
65.5,60.62,62.76,54.32,61.76
65.75,60.62,62.76,54.29,61.76
66,60.62,62.76,54.23,61.76
66.25,60.62,62.76,54.2,61.74
66.5,60.56,62.7,54.14,61.7
66.75,60.56,62.7,54.1,61.68
67,60.56,62.76,54.04,61.68
67.25,60.5,62.7,54.04,61.65
67.5,60.5,62.7,54.01,61.63
67.75,60.5,62.7,53.95,61.63
68,60.5,62.64,53.92,61.58
68.25,60.44,62.64,53.85,61.58
68.5,60.38,62.58,53.79,61.52
68.75,60.38,62.64,53.79,61.54
69,60.38,62.58,53.79,61.51
69.25,60.31,62.58,53.7,61.49
69.5,60.31,62.58,53.7,61.48
69.75,60.25,62.58,53.64,61.46
70,60.25,62.51,53.57,61.43
70.25,60.25,62.51,53.51,61.43
70.5,60.19,62.51,53.48,61.38
70.75,60.19,62.51,53.42,61.37
71,60.12,62.45,53.35,61.35
71.25,60.12,62.45,53.32,61.32
71.5,60.06,62.39,53.26,61.29
71.75,60.06,62.39,53.23,61.26
72,60,62.39,53.17,61.24
72.25,60,62.33,53.1,61.21
72.5,60,62.33,53.04,61.2
72.75,59.94,62.33,53.04,61.2
73,59.88,62.33,52.98,61.13
73.25,59.88,62.26,52.95,61.1
73.5,59.81,62.26,52.92,61.09
73.75,59.81,62.26,52.85,61.06
74,59.81,62.2,52.79,61.04
74.25,59.75,62.2,52.76,61.03
74.5,59.75,62.14,52.7,60.99
74.75,59.69,62.14,52.67,60.98
75,59.62,62.14,52.6,60.95
75.25,59.62,62.14,52.6,60.93
75.5,59.56,62.14,52.54,60.9
75.75,59.56,62.08,52.48,60.89
76,59.56,62.08,52.42,60.87
76.25,59.5,62.08,52.38,60.85
76.5,59.44,62.01,52.35,60.8
76.75,59.5,62.01,52.29,60.8
77,59.44,62.01,52.23,60.79
77.25,59.38,62.01,52.23,60.77
77.5,59.38,62.01,52.17,60.74
77.75,59.31,61.95,52.13,60.68
78,59.31,61.95,52.07,60.68
