hours,cn25,cn30,cn35
51.5,54.91,48.69,43.285
51.75,55.04,48.78,43.26
52,55.165,48.88,43.255
52.25,55.29,48.97,43.195
52.5,55.415,49.06,43.165
52.75,55.505,49.155,43.16
53,55.6,49.28,43.13
53.25,55.725,49.41,43.13
53.5,55.755,49.5,43.13
53.75,55.885,49.56,43.07
54,55.975,49.72,43.07
54.25,56.035,49.78,43.07
54.5,56.135,49.88,43.04
54.75,56.165,50,43.07
55,56.225,50.09,43.04
55.25,56.285,50.19,43.01
55.5,56.355,50.28,43.01
55.75,56.385,50.345,43.01
56,56.415,50.44,43.01
56.25,56.475,50.53,43.01
56.5,56.475,50.59,42.975
56.75,56.51,50.69,42.975
57,56.505,50.81,42.975
57.25,56.54,50.88,42.94
57.5,56.505,50.88,42.975
57.75,56.51,50.97,42.94
58,56.54,51.03,42.94
58.25,56.505,51.09,42.975
58.5,56.48,51.155,42.975
58.75,56.51,51.22,43.01
59,56.445,51.25,43.01
59.25,56.35,51.28,43.04
59.5,56.35,51.345,43.01
59.75,56.32,51.375,43.04
60,56.255,51.375,43.1
60.25,56.225,51.435,43.07
60.5,56.16,51.44,43.13
60.75,56.1,51.44,43.13
61,56.01,51.47,43.16
61.25,55.945,51.465,43.195
61.5,55.88,51.5,43.255
61.75,55.82,51.5,43.29
62,55.725,51.465,43.29
62.25,55.63,51.465,43.38
62.5,55.54,51.435,43.41
62.75,55.445,51.405,43.505
63,55.35,51.345,43.505
63.25,55.255,51.31,43.57
63.5,55.13,51.25,43.635
63.75,54.975,51.22,43.695
64,54.915,51.19,43.755
64.25,54.755,51.125,43.815
64.5,54.6,51.095,43.85
64.75,54.51,50.97,43.975
65,54.38,50.935,43.975
65.25,54.225,50.87,44.105
65.5,54.1,50.78,44.195
65.75,53.975,50.69,44.225
66,53.785,50.595,44.285
66.25,53.635,50.5,44.35
66.5,53.475,50.405,44.475
66.75,53.35,50.31,44.54
67,53.165,50.19,44.6
67.25,52.975,50.095,44.725
67.5,52.815,49.965,44.79
67.75,52.665,49.845,44.85
68,52.445,49.72,44.91
68.25,52.285,49.595,45.01
68.5,52.1,49.405,45.07
68.75,51.945,49.315,45.195
69,51.755,49.185,45.19
69.25,51.54,49.03,45.32
69.5,51.35,48.875,45.35
69.75,51.165,48.75,45.445
70,50.975,48.625,45.505
70.25,50.755,48.47,45.6
70.5,50.57,48.345,45.63
70.75,50.35,48.155,45.695
71,50.135,47.94,45.79
71.25,49.945,47.78,45.82
71.5,49.695,47.685,45.885
71.75,49.505,47.44,45.945
72,49.285,47.315,45.975
72.25,49.07,47.125,46.005
72.5,48.815,46.905,46.07
72.75,48.605,46.715,46.13
73,48.38,46.565,46.1
73.25,48.165,46.405,46.165
73.5,47.945,46.22,46.165
73.75,47.725,46.035,46.195
74,47.505,45.905,46.195
74.25,47.255,45.69,46.165
74.5,47.035,45.465,46.165
74.75,46.85,45.31,46.165
75,46.6,45.125,46.135
75.25,46.32,44.97,46.13
75.5,46.1,44.75,46.07
75.75,45.91,44.56,46.005
76,45.63,44.37,45.975
76.25,45.38,44.19,45.915
76.5,45.13,44.03,45.85
76.75,44.91,43.84,45.79
77,44.695,43.66,45.695
77.25,44.44,43.465,45.665
77.5,44.23,43.28,45.535
77.75,44.01,43.095,45.475
78,43.76,42.905,45.32
78.25,43.505,42.685,45.26
78.5,43.29,42.535,45.1
78.75,43.1,42.345,45.005
79,42.85,42.155,44.85
79.25,42.63,41.97,44.79
79.5,42.385,41.815,44.63
79.75,42.135,41.595,44.475
80,41.945,41.44,44.32
80.25,41.725,41.22,44.195
80.5,41.505,41.12,44.005
80.75,41.29,40.94,43.85
81,41.065,40.75,43.73
81.25,40.82,40.56,43.57
81.5,40.6,40.41,43.38
81.75,40.385,40.22,43.26
82,40.195,40.03,43.035
82.25,39.945,39.875,42.82
82.5,39.755,39.75,42.63
82.75,39.57,39.56,42.505
83,39.385,39.375,42.29
83.25,39.195,39.185,42.1
83.5,38.915,39.03,41.88
83.75,38.755,38.905,41.695
84,38.54,38.72,41.54
84.25,38.32,38.565,41.32
84.5,38.13,38.405,41.13
84.75,37.945,38.28,40.94
85,37.82,38.125,40.76
85.25,37.6,37.965,40.54
85.5,37.41,37.84,40.35
85.75,37.26,37.66,40.16
86,37.04,37.56,39.91
86.25,36.88,37.405,39.73
86.5,36.695,37.25,39.54
86.75,36.51,37.06,39.35
87,36.32,36.94,39.1
87.25,36.16,36.84,38.94
87.5,35.975,36.66,38.695
87.75,35.785,36.53,38.54
88,35.63,36.37,38.32
88.25,35.445,36.25,38.16
88.5,35.285,36.125,37.94
88.75,35.1,36,37.73
89,34.915,35.845,37.51
89.25,34.755,35.72,37.32
89.5,34.635,35.595,37.13
89.75,34.415,35.47,36.94
90,34.315,35.375,36.79
90.25,34.135,35.25,36.54
90.5,34.035,35.095,36.38
90.75,33.88,35,36.195
91,33.725,34.905,36.005
91.25,33.635,34.785,35.85
91.5,33.445,34.655,35.635
91.75,33.32,34.53,35.475
92,33.165,34.44,35.32
92.25,33.005,34.285,35.135
92.5,32.915,34.19,34.91
92.75,32.695,34.06,34.79
93,32.63,33.94,34.6
93.25,32.475,33.845,34.41
93.5,32.32,33.75,34.195
93.75,32.225,33.62,34.035
94,32.1,33.53,33.88
94.25,31.975,33.41,33.725
94.5,31.85,33.28,33.535
94.75,31.695,33.185,33.415
95,31.6,33.06,33.225
95.25,31.47,33,33.035
95.5,31.35,32.845,32.915
95.75,31.225,32.75,32.755
96,31.1,32.625,32.6
96.25,31.005,32.56,32.475
96.5,30.88,32.44,32.255
96.75,30.79,32.345,32.165
97,30.66,32.25,32.005
97.25,30.6,32.155,31.885
97.5,30.445,32.065,31.725
97.75,30.35,31.935,31.565
98,30.255,31.875,31.445
98.25,30.1,31.75,31.315
98.5,30.035,31.655,31.225
98.75,29.945,31.565,31.07
99,29.82,31.465,30.88
99.25,29.755,31.405,30.785
99.5,29.63,31.28,30.66
99.75,29.535,31.22,30.54
100,29.415,31.125,30.41
100.25,29.315,31.065,30.32
100.5,29.255,30.935,30.13
100.75,29.195,30.875,30.04
101,29.095,30.75,29.945
101.25,28.975,30.72,29.785
101.5,28.945,30.595,29.725
101.75,28.85,30.53,29.57
102,28.755,30.44,29.475
102.25,28.695,30.34,29.41
102.5,28.6,30.28,29.255
102.75,28.505,30.19,29.16
103,28.445,30.13,29.04
103.25,28.38,30.06,28.975
103.5,28.285,29.97,28.88
103.75,28.255,29.87,28.785
104,28.13,29.78,28.69
104.25,28.07,29.78,28.57
104.5,28.005,29.66,28.475
104.75,27.945,29.595,28.38
105,27.88,29.53,28.32
105.25,27.82,29.435,28.22
105.5,27.69,29.405,28.13
105.75,27.66,29.31,28.07
106,27.6,29.25,27.975
106.25,27.54,29.22,27.88
106.5,27.475,29.155,27.82
106.75,27.38,29.095,27.755
107,27.35,29,27.66
107.25,27.255,28.935,27.6
107.5,27.19,28.875,27.51
107.75,27.13,28.815,27.41
108,27.1,28.785,27.35
108.25,27.04,28.715,27.29
108.5,27.01,28.625,27.22
108.75,26.91,28.595,27.13
109,26.88,28.5,27.07
109.25,26.82,28.47,27.04
109.5,26.755,28.405,26.975
109.75,26.755,28.345,26.945
110,26.725,28.315,26.85
110.25,26.69,28.28,26.79
110.5,26.6,28.22,26.72
110.75,26.57,28.155,26.66
111,26.505,28.09,26.57
111.25,26.445,28.09,26.54
111.5,26.445,28.03,26.445
111.75,26.38,28,26.445
112,26.345,27.97,26.38
112.25,26.285,27.91,26.32
112.5,26.255,27.845,26.255
112.75,26.165,27.78,26.225
113,26.195,27.75,26.16
113.25,26.13,27.72,26.13
113.5,26.07,27.69,26.07
113.75,26.065,27.62,26.04
114,26.035,27.59,25.975
114.25,25.975,27.53,25.945
114.5,25.975,27.53,25.88
114.75,25.915,27.47,25.85
115,25.915,27.44,25.82
115.25,25.845,27.375,25.755
115.5,25.845,27.375,25.725
115.75,25.785,27.28,25.725
116,25.785,27.28,25.66
116.25,25.785,27.25,25.63
116.5,25.725,27.22,25.57
116.75,25.725,27.185,25.57
117,25.665,27.125,25.505
117.25,25.635,27.09,25.505
117.5,25.635,27.06,25.445
117.75,25.635,27.03,25.415
118,25.6,27,25.415
118.25,25.505,26.97,25.35
118.5,25.535,26.97,25.32
118.75,25.505,26.875,25.225
119,25.505,26.845,25.22
119.25,25.415,26.815,25.225
119.5,25.38,26.815,25.16
119.75,25.38,26.75,25.13
120,25.345,26.715,25.1
120.25,25.315,26.715,25.07
120.5,25.255,26.685,25.035
120.75,25.285,26.625,25.005
121,25.255,26.625,24.975
121.25,25.195,26.565,24.975
121.5,25.225,26.53,24.945
121.75,25.225,26.5,24.915
122,25.195,26.47,24.915
122.25,25.165,26.5,24.85
122.5,25.13,26.405,24.82
122.75,25.1,26.375,24.785
123,25.07,26.375,24.785
123.25,25.1,26.345,24.725
123.5,25.005,26.285,24.695
123.75,24.975,26.285,24.63
124,24.94,26.25,24.63
124.25,24.94,26.185,24.63
124.5,24.94,26.185,24.6
124.75,24.91,26.155,24.57
125,24.88,26.125,24.505
125.25,24.85,26.065,24.475
125.5,24.785,26.035,24.445
125.75,24.815,26.035,24.415
126,24.785,26.035,24.415
126.25,24.725,26,24.415
126.5,24.785,25.965,24.35
126.75,24.725,25.935,24.35
127,24.725,25.935,24.285
127.25,24.695,25.905,24.35
127.5,24.665,25.875,24.285
127.75,24.635,25.905,24.255
128,24.63,25.845,24.255
128.25,24.63,25.845,24.225
128.5,24.6,25.845,24.225
128.75,24.6,25.78,24.16
129,24.57,25.78,24.165
129.25,24.6,25.75,24.13
129.5,24.57,25.75,24.13
129.75,24.57,25.69,24.1
130,24.57,25.72,24.1
130.25,24.505,25.69,24.07
130.5,24.44,25.69,24.035
130.75,24.44,25.625,24.065
131,24.44,25.625,24.035
131.25,24.41,25.595,24.005
131.5,24.38,25.595,23.975
131.75,24.41,25.565,23.975
132,24.41,25.565,23.975
132.25,24.38,25.565,23.975
132.5,24.38,25.535,23.915
132.75,24.38,25.5,23.945
133,24.38,25.5,23.945
133.25,24.35,25.47,23.915
133.5,24.38,25.47,23.915
133.75,24.35,25.44,23.915
134,24.35,25.47,23.88
134.25,24.32,25.44,23.85
134.5,24.35,25.47,23.85
134.75,24.285,25.435,23.82
135,24.285,25.405,23.815
135.25,24.285,25.375,23.85
135.5,24.255,25.375,23.82
135.75,24.285,25.375,23.82
136,24.29,25.34,23.785
136.25,24.285,25.375,23.755
136.5,24.255,25.34,23.79
136.75,24.255,25.34,23.755
137,24.285,25.31,23.755
137.25,24.255,25.31,23.755
137.5,24.255,25.34,23.755
137.75,24.225,25.31,23.725
138,24.255,25.31,23.755
138.25,24.195,25.28,23.725
138.5,24.225,25.28,23.725
138.75,24.255,25.25,23.725
139,24.225,25.25,23.725
139.25,24.225,25.25,23.725
139.5,24.225,25.22,23.725
139.75,24.225,25.22,23.725
140,24.225,25.22,23.725
140.25,24.225,25.22,23.69
140.5,24.195,25.16,23.695
140.75,24.195,25.19,23.69
141,24.225,25.19,23.69
141.25,24.195,25.16,23.66
141.5,24.225,25.16,23.63
141.75,24.195,25.13,23.66
142,24.195,25.13,23.63
142.25,24.195,25.16,23.66
142.5,24.195,25.13,23.66
142.75,24.195,25.13,23.63
143,24.13,25.095,23.6
143.25,24.16,25.06,23.63
143.5,24.16,25.06,23.6
143.75,24.13,25.095,23.565
144,24.195,25.095,23.6
