hours,mc70,mc60,mc50
49.75,40.57,42.47,41.82
50.00,40.57,42.25,41.76
50.25,40.51,42.03,41.73
50.50,40.41,41.84,41.70
50.75,40.38,41.60,41.73
51.00,40.29,41.38,41.63
51.25,40.23,41.16,41.60
51.50,40.20,40.94,41.57
51.75,40.10,40.75,41.60
52.00,40.07,40.57,41.57
52.25,40.01,40.28,41.54
52.50,39.92,40.13,41.51
52.75,39.85,39.91,41.51
53.00,39.82,39.72,41.51
53.25,39.73,39.54,41.48
53.50,39.67,39.28,41.48
53.75,39.67,39.13,41.39
54.00,39.51,38.91,41.42
54.25,39.48,38.72,41.35
54.50,39.42,38.53,41.35
54.75,39.35,38.32,41.35
55.00,39.23,38.16,41.29
55.25,39.20,37.94,41.26
55.50,39.14,37.75,41.26
55.75,39.04,37.60,41.26
56.00,38.95,37.44,41.23
56.25,38.89,37.22,41.23
56.50,38.82,37.03,41.20
56.75,38.73,36.82,41.20
57.00,38.64,36.69,41.17
57.25,38.57,36.50,41.14
57.50,38.45,36.32,41.14
57.75,38.42,36.19,41.10
58.00,38.32,36.00,41.10
58.25,38.29,35.85,41.14
58.50,38.20,35.69,41.07
58.75,38.11,35.50,41.07
59.00,38.01,35.35,41.07
59.25,37.98,35.19,41.04
59.50,37.89,35.03,41.04
59.75,37.85,34.88,41.04
60.00,37.73,34.72,41.07
60.25,37.67,34.59,41.04
60.50,37.57,34.47,41.04
60.75,37.51,34.31,41.04
61.00,37.41,34.16,41.04
61.25,37.38,34.00,41.01
61.50,37.32,33.88,41.04
61.75,37.23,33.78,41.01
62.00,37.14,33.62,41.04
62.25,37.07,33.53,41.07
62.50,36.98,33.41,41.04
62.75,36.91,33.28,41.07
63.00,36.88,33.16,41.07
63.25,36.79,33.03,41.10
63.50,36.73,32.91,41.10
63.75,36.63,32.81,41.14
64.00,36.60,32.72,41.17
64.25,36.54,32.56,41.20
64.50,36.41,32.44,41.20
64.75,36.35,32.35,41.26
65.00,36.35,32.25,41.26
65.25,36.26,32.16,41.29
65.50,36.23,32.03,41.32
65.75,36.13,31.94,41.32
66.00,36.04,31.88,41.39
66.25,35.94,31.82,41.45
66.50,35.91,31.69,41.45
66.75,35.85,31.56,41.51
67.00,35.79,31.50,41.57
67.25,35.76,31.38,41.60
67.50,35.63,31.32,41.66
67.75,35.60,31.22,41.69
68.00,35.54,31.10,41.76
68.25,35.44,31.03,41.82
68.50,35.38,30.94,41.88
68.75,35.35,30.85,41.95
69.00,35.29,30.82,42.04
69.25,35.23,30.66,42.13
69.50,35.13,30.60,42.19
69.75,35.07,30.53,42.26
70.00,35.01,30.44,42.35
70.25,34.91,30.35,42.45
70.50,34.88,30.29,42.51
70.75,34.88,30.22,42.60
71.00,34.76,30.13,42.66
71.25,34.67,30.10,42.79
71.50,34.60,30.00,42.91
71.75,34.54,29.94,43.04
72.00,34.48,29.88,43.13
72.25,34.44,29.82,43.20
72.50,34.41,29.78,43.35
72.75,34.32,29.69,43.48
73.00,34.26,29.66,43.60
73.25,34.20,29.60,43.73
73.50,34.13,29.57,43.85
73.75,34.10,29.47,44.01
74.00,34.01,29.41,44.16
74.25,33.98,29.38,44.26
74.50,33.91,29.32,44.41
74.75,33.85,29.25,44.57
75.00,33.76,29.13,44.73
75.25,33.73,29.16,44.88
75.50,33.66,29.10,45.04
75.75,33.60,29.03,45.13
76.00,33.57,28.97,45.32
76.25,33.51,28.94,45.48
76.50,33.44,28.91,45.60
76.75,33.38,28.85,45.79
77.00,33.32,28.79,45.95
77.25,33.23,28.72,46.10
77.50,33.16,28.72,46.26
77.75,33.17,28.69,46.38
78.00,33.07,28.66,46.57
78.25,33.07,28.56,46.76
78.50,33.01,28.56,46.85
78.75,32.91,28.53,47.01
79.00,32.85,28.47,47.13
79.25,32.82,28.44,47.29
79.50,32.76,28.41,47.39
79.75,32.73,28.41,47.57
80.00,32.67,28.35,47.64
80.25,32.60,28.29,47.76
80.50,32.54,28.25,47.88
80.75,32.51,28.25,47.98
81.00,32.45,28.19,48.07
81.25,32.38,28.13,48.13
81.50,32.35,28.13,48.20
81.75,32.29,28.06,48.29
82.00,32.23,28.06,48.38
82.25,32.20,28.00,48.41
82.50,32.13,27.97,48.54
82.75,32.10,27.94,48.57
83.00,32.04,27.91,48.60
83.25,31.97,27.91,48.63
83.50,31.97,27.88,48.67
83.75,31.91,27.88,48.70
84.00,31.88,27.82,48.76
84.25,31.82,27.79,48.76
84.50,31.79,27.75,48.76
84.75,31.73,27.75,48.76
85.00,31.66,27.69,48.76
85.25,31.70,27.66,48.76
85.50,31.60,27.66,48.73
85.75,31.57,27.59,48.70
86.00,31.54,27.63,48.67
86.25,31.44,27.59,48.64
86.50,31.41,27.53,48.61
86.75,31.38,27.53,48.51
87.00,31.35,27.50,48.48
87.25,31.29,27.50,48.45
87.50,31.26,27.47,48.35
87.75,31.20,27.44,48.32
88.00,31.17,27.44,48.20
88.25,31.10,27.44,48.07
88.50,31.07,27.41,48.04
88.75,31.04,27.38,47.95
89.00,31.01,27.35,47.82
89.25,30.97,27.31,47.73
89.50,30.91,27.35,47.64
89.75,30.88,27.31,47.54
90.00,30.88,27.28,47.42
90.25,30.79,27.28,47.32
90.50,30.79,27.22,47.20
90.75,30.70,27.22,47.01
91.00,30.66,27.19,46.92
91.25,30.63,27.16,46.76
91.50,30.60,27.13,46.67
91.75,30.54,27.13,46.51
92.00,30.51,27.06,46.29
92.25,30.47,27.03,46.17
92.50,30.41,27.03,46.01
92.75,30.35,27.03,45.89
93.00,30.32,27.00,45.70
93.25,30.26,26.97,45.54
93.50,30.26,26.97,45.42
93.75,30.20,26.94,45.23
94.00,30.16,26.91,45.07
94.25,30.13,26.91,44.82
94.50,30.10,26.85,44.70
94.75,30.04,26.85,44.51
95.00,30.01,26.82,44.32
95.25,30.01,26.79,44.17
95.50,29.88,26.72,43.95
95.75,29.85,26.72,43.79
96.00,29.79,26.66,43.61
96.25,29.76,26.63,43.42
96.50,29.70,26.63,43.20
96.75,29.69,26.63,43.04
97.00,29.63,26.60,42.85
97.25,29.60,26.53,42.67
97.50,29.54,26.53,42.48
97.75,29.51,26.50,42.26
98.00,29.47,26.47,42.14
98.25,29.44,26.47,41.89
98.50,29.41,26.44,41.70
